"CERT","CITYST","COST","FAILDATE","ID","NAME","QBFASSET","QBFDEP","RESTYPE"
57654,"NORTHVILLE, MI",56318,"10/10/2008","3569","MAIN STREET BANK",112368,98934,"FAILURE"
13789,"ELDRED, IL",16618,"10/10/2008","3570","MERIDIAN BANK",38223,36090,"FAILURE"
58241,"ALPHARETTA, GA",211264,"10/24/2008","3571","ALPHA BANK & TRUST",354090,344231,"FAILURE"
57930,"BRADENTON, FL",113456,"10/31/2008","3572","FREEDOM BANK",270842,256793,"FAILURE"
26870,"HOUSTON, TX",614111,"11/7/2008","3573","FRANKLIN BANK, SSB",5089260,3692887,"FAILURE"
23595,"SAN DIEGO, CA",148255,"11/7/2008","3574","SECURITY PACIFIC BANK",527959,456472,"FAILURE"
30968,"NEWPORT BEACH, CA",151232,"11/21/2008","3575","DOWNEY SAVINGS AND LOAN ASSOCIATION, F.A.",12779371,9653169,"FAILURE"
28344,"POMONA, CA",258807,"11/21/2008","3576","PFF BANK & TRUST",3715433,2393845,"FAILURE"
16490,"LOGANVILLE, GA",335062,"11/21/2008","3577","THE COMMUNITY BANK",634901,603733,"FAILURE"
18923,"CENTURY CITY, CA",,"11/23/2008","3578","CITIBANK (BANAMEX USA)",1322720,876086,"ASSISTANCE"
23360,"SIOUX FALLS, SD",,"11/23/2008","3579","CITIBANK (SOUTH DAKOTA), N.A.",77737957,42356986,"ASSISTANCE"
7213,"LAS VEGAS, NV",,"11/23/2008","3580","CITIBANK, NATIONAL ASSOCIATION",1207007000,230042000,"ASSISTANCE"
18708,"WILMINGTON, DE",,"11/23/2008","3581","CITICORP TRUST BANK, FSB",19599414,7231013,"ASSISTANCE"
58180,"SIOUX FALLS, SD",,"11/23/2008","3582","DEPARTMENT STORES NATIONAL BANK",374903,300881,"ASSISTANCE"
34301,"JACKSON, GA",86315,"12/5/2008","3583","FIRST GEORGIA COMMUNITY BANK",256371,215287,"FAILURE"
35379,"DULUTH, GA",246603,"12/12/2008","3584","HAVEN TRUST BANK",559551,489692,"FAILURE"
11568,"SANDERSON, TX",7710,"12/12/2008","3585","SANDERSON STATE BANK",38217,32012,"FAILURE"
25178,"SAN FRANCISCO, CA",,"1/16/2009","3586","BANK OF AMERICA CALIFORNIA N.A.",21502223,500,"ASSISTANCE"
3510,"CHARLOTTE, NC",,"1/16/2009","3587","BANK OF AMERICA N.A.",1471631047,954677580,"ASSISTANCE"
35453,"PORTLAND, OR",,"1/16/2009","3588","BANK OF AMERICA OREGON N.A.",11526309,500,"ASSISTANCE"
58032,"PROVIDENCE, RI",,"1/16/2009","3589","BANK OF AMERICA RHODE ISLAND N.A.",35410586,500,"ASSISTANCE"
34959,"VANCOUVER, WA",150724,"1/16/2009","3590","BANK OF CLARK COUNTY",441085,377506,"FAILURE"
33143,"ALEXANDRIA, VA",,"1/16/2009","3591","COUNTRYWIDE BANK FSB",117978966,43663251,"ASSISTANCE"
33318,"WILMINGTON, DE",,"1/16/2009","3592","FIA CARD SERVICES N.A.",159637136,9816599,"ASSISTANCE"
34571,"NEW YORK, NY",,"1/16/2009","3593","MERRILL LYNCH BANK & TRUST CO FSB",37986413,28539028,"ASSISTANCE"
27374,"SALT LAKE CITY, UT",,"1/16/2009","3594","MERRILL LYNCH BANK USA",61809503,53620324,"ASSISTANCE"
19733,"BERKELEY, IL",80488,"1/16/2009","3595","NATIONAL BANK OF COMMERCE",419741,395868,"FAILURE"
33025,"REDLANDS, CA",136041,"1/23/2009","3596","1ST CENTENNIAL BANK",797959,678570,"FAILURE"
58001,"SALT LAKE CITY, UT",170125,"1/30/2009","3597","MAGNET BANK",300674,282578,"FAILURE"
26538,"OCALA, FL",93552,"1/30/2009","3598","OCALA NATIONAL BANK",219424,204663,"FAILURE"
30763,"CROFTON, MD",73819,"1/30/2009","3599","SUBURBAN FEDERAL SAVINGS BANK",347408,301847,"FAILURE"
23124,"CULVER CITY, CA",118079,"2/6/2009","3600","ALLIANCE BANK",1113361,951106,"FAILURE"
22574,"MERCED, CA",61783,"2/6/2009","3601","COUNTY BANK",1711552,1324635,"FAILURE"
57017,"MCDONOUGH, GA",151333,"2/6/2009","3602","FIRSTBANK FINANCIAL SERVICES",317237,279308,"FAILURE"
16500,"PITTSFIELD, IL",80894,"2/13/2009","3603","CORN BELT BANK AND TRUST COMPANY",260201,233788,"FAILURE"
57342,"BEAVERTON, OR",10218,"2/13/2009","3604","PINNACLE BANK",71921,64168,"FAILURE"
34563,"CAPE CORAL, FL",199818,"2/13/2009","3605","RIVERSIDE BANK OF THE GULF COAST",523673,422708,"FAILURE"
5431,"LOUP CITY, NE",42684,"2/13/2009","3606","SHERMAN COUNTY BANK",135431,90647,"FAILURE"
35399,"SILVERTON, OR",39314,"2/20/2009","3607","SILVER FALLS BANK",134206,115976,"FAILURE"
20078,"GLENWOOD, IL",48231,"2/27/2009","3608","HERITAGE COMMUNITY BANK",235154,225735,"FAILURE"
34820,"HENDERSON, NV",32328,"2/27/2009","3609","SECURITY SAVINGS BANK",238307,174872,"FAILURE"
57558,"COMMERCE, GA",43267,"3/6/2009","3610","FREEDOM BANK OF GEORGIA",172454,159048,"FAILURE"
18896,"COLORADO SPRINGS, CO",12687,"3/20/2009","3611","COLORADO NATIONAL BANK",123508,85150,"FAILURE"
18243,"STOCKBRIDGE, GA",135210,"3/20/2009","3612","FIRSTCITY BANK",285015,259056,"FAILURE"
